id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
275861063,Walden Một Mình Sống Trong Rừng (Ấn Bản Bỏ Túi) - Bản Quyền,https://tiki.vn/product-p275861063.html?spid=275861064,222,111,16,5.0,55,ThucPT,Gooda Official,Du ký,Nhà Xuất Bản Tri Thức,"“Walden” là một hồi tưởng đầy chiêm nghiệm suy tư về quãng đời “hai năm hai tháng hai ngày” sống một mình trong một mảnh đất rừng bên cạnh đầm Walden, “Giọt nước của Trời”, “đáng yêu hơn kim cương” tr..."
185435419,Xây dựng câu chuyện thương hiệu - Donald Miller,https://tiki.vn/product-p185435419.html?spid=185435420,222,111,35,5.0,59,Thanh Duy,1980 BOOKS HCM,Sách khởi nghiệp,Nhà Xuất Bản Lao Động,Xây Dựng Câu Chuyện Thương HiệuTác giả Donald MillerNgười Dịch Vũ Diệu HươngNXB NXB Lao ĐộngNăm XB 2022 (tái bản)Trọng lượng (gr) 400Kích Thước Bao Bì 13 x 20.5Số trang 372Hình thức Bìa Mềm Xây Dự...
