id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
120790298,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh: Chú Lính Chì Dũng Cảm - The Steadfast Tin Soldier,https://tiki.vn/product-p120790298.html?spid=120790299,28000,35000,20,5.0,75,"Trương Nghĩa Văn, Chia-Fen Her, Shu-Hua Huang",Tiki Trading,Root,Nhà Xuất Bản Kim Đồng,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh: Chú Lính Chì Dũng Cảm - The Steadfast Tin Soldier - Dành cho bé dưới 11 tuổiGiới thiệu sáchBộ sách gồm những câu chuyện cổ tích nổi tiếng thế giới đượ...
120790296,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh: Cô Bé Lọ Lem - Cinderella,https://tiki.vn/product-p120790296.html?spid=120790297,28000,35000,20,4.8,82,"Trương Nghĩa Văn, Chia-Fen Her, Shu-Hua Huang",Tiki Trading,Truyện cổ tích,Nhà Xuất Bản Kim Đồng,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh: Cô Bé Lọ Lem - Cinderella - Dành cho bé dưới 11 tuổiGiới thiệu sáchBộ sách gồm những câu chuyện cổ tích nổi tiếng thế giới được kể bằng hai ngôn ngữ ...
120790290,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh: Alice Ở Xứ Sở Thần Tiên - Alice In Wonderland,https://tiki.vn/product-p120790290.html?spid=120790291,28000,35000,20,5.0,208,"Shu-Hua Huang, Chia-Fen Her, Trương Nghĩa Văn",Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Kim Đồng,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh: Alice Ở Xứ Sở Thần Tiên - Alice In Wonderland - Dành cho bé dưới 11 tuổiGiới thiệu sáchBộ sách gồm những câu chuyện cổ tích nổi tiếng thế giới được kể...
120790288,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh: Cô Bé Tí Hon - Thumbelina,https://tiki.vn/product-p120790288.html?spid=120790289,28000,35000,20,5.0,101,"Trương Nghĩa Văn, Chia-Fen Her, Shu-Hua Huang",Tiki Trading,Truyện cổ tích,Nhà Xuất Bản Kim Đồng,Truyện Cổ Tích Nổi Tiếng Song Ngữ Việt - Anh: Cô Bé Tí Hon - Thumbelina - Dành cho bé dưới 11 tuổiGiới thiệu sáchBộ sách gồm những câu chuyện cổ tích nổi tiếng thế giới được kể bằng hai ngôn ngữ t...
115794818,Combo 4 cuốn Chuyện Rừng,https://tiki.vn/product-p115794818.html?spid=115794821,396000,512000,23,5.0,89,Nhiều Tác Giả,Cá Chép Bookstore,Truyện cổ tích,Nhà Xuất Bản Dân Trí,"####Đây là một xứ sở lạ lùng của những cư dân tinh nghịch, các cụ thần lùn láu lỉnh, bác khổng lồ hiền lành và các tiên nữ tốt bụng… Tất cả cộng đồng ấy tạo nên một thế giới sinh động với những tiếng..."
109515310,Truyện Cổ Grim 2,https://tiki.vn/product-p109515310.html?spid=109515311,154000,200000,23,4.8,229,"Jacob, Wilhelm Grimm",Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Hà Nội,"Giới thiệu tác giảJacob Grimm và Wilhelm Grimm là hai anh em nhà văn người Đức, nổi tiếng với những câu chuyện cổ tích đã trở thành một phần không thể thiếu trong tuổi thơ của biết bao thế hệ. Cùng n..."
85029033,Truyện Cổ Grimm (Ấn Bản Đầy Đủ Nhất Kèm 184 Minh Hoạ Của Philipp Grot Johann Và Robert Leinweber),https://tiki.vn/product-p85029033.html?spid=85029034,457000,680000,33,5.0,2113,Jacob & Wilhelm Grimm,Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Văn Học,"Năm 1812, ấn bản đầu tiên của tập truyện “Kinder-und Hausmärchen” (Chuyện kể cho trẻ em và trong gia đình) ra đời tại Berlin, và lập tức gây được tiếng vang trong cộng đồng những nhà nghiên cứu ở Đức...."
79126526,Sách Tác Phẩm Kinh Điển Minh Họa Mới - Alice Ở Xứ Sở Diệu Kỳ,https://tiki.vn/product-p79126526.html?spid=79126527,109600,150000,27,5.0,427,Lewis Carroll,Tiki Trading,Truyện cổ tích,Nhà Xuất Bản Văn Học,"Giới thiệu tác giảLewis Carroll: Nhà văn của xứ sở diệu kỳLewis Carroll là bút danh của Charles Lutwidge Dodgson, một nhà văn, nhà toán học, nhà thần học, nhà logic học và nhiếp ảnh gia người Anh. Ô..."
51903714,Kho Tàng Truyện Cổ Tích Việt Nam 02 (Tái Bản 2020),https://tiki.vn/product-p51903714.html?spid=51903715,60000,80000,25,4.8,558,Nguyễn Đổng Chi,Tiki Trading,Sách tiếng Việt,NXB Trẻ,"""Kho Tàng Truyện Cổ Tích Việt Nam 02 (Tái Bản 2020)"" là một bộ sưu tập những câu chuyện cổ tích Việt Nam hay nhất, được tuyển chọn và biên soạn kỹ lưỡng. Cuốn sách không chỉ là một kho tàng truyện cổ ..."
23424621,Truyện Cổ Tích Thế Giới Hay Nhất - Nàng Tiên Cá,https://tiki.vn/product-p23424621.html?spid=127526705,12500,16000,22,5.0,11,"., ., ., .",Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Văn Học,"Truyện Cổ Tích Thế Giới Hay Nhất - Nàng Tiên Cá Truyện cổ tích là sản phẩm từ trí tưởng tượng phong phú của người dân, là một trong những thể loại văn học dân gian quan trọng được phổ biến rộng rãi tr..."
