id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
276497162,Bản đồ tư duy giải quyết vấn đề: Phương pháp 7 bước xử lý mọi khó khăn trong cuộc sống,https://tiki.vn/product-p276497162.html?spid=276497166,163000,220000,26,5.0,9,"Phụng Sương Ninh, Cố Thục Vĩ",Tiki Trading,"Sách quản trị, lãnh đạo",Nhà Xuất Bản Hồng Đức,"Giới thiệu sáchNguyên lý “Vạn biến bất ly kỳ tông”, cho dù biểu hiện bên ngoài của mỗi vấn đề luôn luôn thay đổi và có sự khác biệt, nhưng chỉ cần nắm vững được bản thân, bạn sẽ tìm được nguyên lý gi..."
275264343,Lỗi tư duy: 45 phương pháp giúp bạn thoát khỏi tình trạng nỗ lực ảo,https://tiki.vn/product-p275264343.html?spid=275264345,144000,192000,25,5.0,26,Lữ Bạch,Tiki Trading,"Sách quản trị, lãnh đạo",Nhà Xuất Bản Hồng Đức,"Hãy lật đổ lối suy nghĩ cố hữu trong quá khứNỗ lực mù quáng mà không suy nghĩ là một kiểu tự làm cạn kiệt sức lực. Vấn đề lớn nhất của những người trẻ tuổi không phải là lười biếng, mà là họ làm việc..."
275264309,Trí Tuệ Của Bullfrog: Lãnh Đạo Thật Đơn Giản (Nhưng Cũng Không Dễ Dàng) - Bài Học Lãnh Đạo Của Một Vị Tướng SEAL - Tác giả William H. McRaven,https://tiki.vn/product-p275264309.html?spid=275264312,93800,149000,37,4.5,28,William H. McRaven,Tiki Trading,"Sách quản trị, lãnh đạo",Nhà Xuất Bản Dân Trí,"Danh hiệu ""Bullfrog"" được trao cho người phục vụ trong Navy SEAL (lực lượng Tác Chiến Đặc Biệt trực thuộc Bộ Tư Lệnh Chiến Tranh Đặc Biệt Hải Quân Hoa Kỳ) lâu nhất và đang tại ngũ. Đô đốc McRaven vinh..."
274770354," Thiết Kế Tổ Chức (Organizational Design) - Richard M. Burton, Brge Obel, Dorthe Djbak Hkonsson",https://tiki.vn/product-p274770354.html?spid=274770357,237000,285000,17,4.7,1132,Nhiều tác giả,Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Tổng hợp TP.HCM,"Trong thế giới đầy biến động ngày nay, thiết kế tổ chức là một hoạt động liên tục, và cũng là một thách thức dành cho tất cả các nhà quản lý, cho dù đang quản lý một doanh nghiệp toàn cầu hay một đội ..."
273851338,NHỮNG CÔ GÁI CUỐI CÙNG,https://tiki.vn/product-p273851338.html?spid=273851340,137000,185000,26,4.0,25,Riley Sager,Tiki Trading,"Sách quản trị, lãnh đạo",Nhà Xuất Bản Lao Động,"10 năm trước, sáu người bạn cùng nhau đi nghỉ. Chỉ một người trong đó còn sống…Vào thời khắc đó, cô sinh viên Quincy Carpenter đã gia nhập vào một nhóm cá biệt mà cánh báo chí đặt tên là “Những Cô Gá..."
273851337,CÁI TÔI TRONG TƯƠNG TÁC XÃ HỘI,https://tiki.vn/product-p273851337.html?spid=273851339,109000,145000,25,5.0,41,Erving Goffman,Tiki Trading,"Sách quản trị, lãnh đạo",Nhà Xuất Bản Phụ Nữ,"Bạn đã từng nghe câu “Cuộc đời là một bộ phim mà trong đó bạn là nhân vật chính…”Rất gần với ý tưởng đó, Erving Goffman đã sử dụng khái niệm sân khấu để mô tả đời sống xã hội và tương tác của bản thâ..."
272392161,Tư Duy Chiến Lược – Lý Thuyết Trò Chơi Thực Hành,https://tiki.vn/product-p272392161.html?spid=272392162,136000,186000,27,4.7,388,"Avinash K. Dixit, Barry J. Nalebuff",Tiki Trading,"Sách quản trị, lãnh đạo",Nhà Xuất Bản Dân Trí,"TÓM TẮT NỘI DUNG Tư duy chiến lược là nghệ thuật vượt qua đối thủ cạnh tranh, với nhận thức rằng họ cũng đang cố gắng vượt qua mình. Mỗi chúng ta đều phải áp dụng tư duy chiến lược, theo cách này hay..."
272369236,MBA Bằng Hình - The Visual MBA,https://tiki.vn/product-p272369236.html?spid=272369237,145500,189000,23,5.0,120,"Jason Barron, MBA",Nhà sách Fahasa,Root,Nhà Xuất Bản Công Thương,"    MBA Bằng Hình - The Usual MBA   Jason Barron, MBA, là một nhà lãnh đạo đầy sáng tạo tập trung vào chiến lược sản phẩm số và trải nghiệm người dùng. Ông cũng là đồng sự sáng lập nên công ty khở..."
255395245,Julius caesar,https://tiki.vn/product-p255395245.html?spid=255395247,160000,215000,26,4.8,174,Philip Freeman,Tiki Trading,"Sách quản trị, lãnh đạo",Nhà Xuất Bản Dân Trí,"Julius Caesar thuộc hàng ngũ những nhà lãnh tụ quân sự và chính trị xuất sắc nhất của La Mã, là người đóng vai trò quan trọng trong các sự kiện dẫn đến sự sụp đổ của nhà nước Cộng hòa La Mã và sự trỗi..."
199903842,Cắt Giảm Chi Phí - Quản Lý Kiểm Soát Và Chuyển Đổi Phí Thành Lợi Nhuận,https://tiki.vn/product-p199903842.html?spid=199903843,138750,185000,25,5.0,180,,BizbooksJSC,"Sách quản trị, lãnh đạo",Nhà Xuất Bản Hồng Đức,"Chúng ta đang sống trong thời đại kinh tế tăng trưởng cao độ, hàng hóa được bán rất chạy, làm thé nào để tăng lượng doanh thu dù chỉ “lấy lãi ít để bán được nhiều” là một chủ đề được rất nhiều các ch..."
187149935,Nhà Lãnh Đạo Không Chức Danh (Tái Bản),https://tiki.vn/product-p187149935.html?spid=199554117,89250,105000,15,5.0,24, Robin Sharma,Nhà sách NetaBooks,"Sách quản trị, lãnh đạo",NXB Trẻ,"Nhà Lãnh Đạo Không Chức DanhSuốt hơn 15 năm, Robin Sharma đã thầm lặng chia sẻ với những công ty trong danh sách Fortune 500 và nhiều người siêu giàu khác một công thức thành công đã giúp ông trở thà..."
276361235,Chính Bắc (Discover Your True North) - Khám Phá Ra “Chiếc La Bàn Nội Tâm” Của Chính Mình Để Dẫn Dắt Bản Thân Nhằm Trở Thành Nhà Lãnh Đạo Đích Thực,https://tiki.vn/product-p276361235.html?spid=276361238,150000,225000,33,5.0,715,Bill George,Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Tổng hợp TP.HCM,Tác phẩm: Chính Bắc (Discover Your True North) - Khám phá ra “CHIẾC LA BÀN NỘI TÂM” của chính mình để dẫn dắt bản thân nhằm trở thành nhà lãnh đạo đích thựcTác giả: Bill GeorgeNgười dịch: Võ Kiều Li...
275106167,Lãnh Đạo Bằng Câu Hỏi (Tái Bản),https://tiki.vn/product-p275106167.html?spid=275106170,130000,160000,19,5.0,402,Michael J. Marquardt,Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Thế Giới,"Sự khác biệt giữa nhà lãnh đạo và nhà quản lý là các nhà lãnh đạo đặt đúng câu hỏi, và các nhà quản lý có nhiệm vụ trả lời những câu hỏi đó.Đặt đúng câu hỏi cho phép các nhà lãnh đạo khám phá những v..."
274612424,Coaching - Quyền Năng Của Nhà Lãnh Đạo,https://tiki.vn/product-p274612424.html?spid=274612425,117410,199000,41,4.5,34,"Quách Hương, Quách Hiến",Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Công Thương,"Trong cuộc khảo sát của Liên đoàn Coaching Quốc tế với hơn 500 công ty lớn nhất tại Mỹ, những công ty có văn hóa Coaching mạnh mẽ sẽ có sự tham gia đóng góp của nhân viên cao hơn và doanh thu cũng lớn..."
272456762,Quản Trị Nguồn Nhân Lực,https://tiki.vn/product-p272456762.html?spid=272456763,249500,499000,50,4.5,93,,Nhà Sách Kinh Tế VN,Sách quản trị nhân lực,Nhà Xuất Bản Tài Chính,"“QUẢN THÌ NGUỒN NHÂN LỰC"" LÀ MỘT CUỐN SÁCH KẾT HỢP ĐƯỢC ƯU ĐIỂM CỦA HAI TÁC GIẢI MỘT CHUYÊN GIA TƯ VẤN NHÂN LỰC VÀ MỘT NHÀ NGHIÊN CỨU TRẺ TUỔI TÀI NĂNG, ĐÃ XUẤT BẢN NHIỀU CÔNG TRÌNH NGHIÊN CỨU QUỐC TẾ..."
261802084,TÍNH CHUYÊN CHẾ CỦA CHẾ ĐỘ NHÂN TÀI – Lợi ích chung sẽ ra sao ? - GS. Michael Sandel – Omega Plus - NXB Thế Giới,https://tiki.vn/product-p261802084.html?spid=263035254,194250,259000,25,4.0,13,,Alpha Books Official,Sách quản trị nhân lực,Nhà Xuất Bản Thế Giới,Cỗ máy sàng lọc “nhân tài” hoạt động hết công suất; thực trạng phân biệt đối xử giữa người giỏi – người bình thường ngày càng hiện rõ trong xã hội hiện đại. Liệu bạn có đang bị cuốn vào làn sóng này? ...
249771942,Lý Quang Diệu - Kỷ Luật Thép Của Singapore (Bìa Mềm) - Tái Bản,https://tiki.vn/product-p249771942.html?spid=249771945,121000,155000,22,4.0,60,Nguyễn Thị Bích Phương,Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Hồng Đức,"Lý Quang Diệu (16/9/1823 – 23/3/2015) là Thủ tướng đầu tiên của nước Cộng hòa Singapore (từ năm 1959 đến năm 1990). Mặc dù đã rời bỏ chức vụ thủ tướng, ông vẫn được xem là một chính trị gia có ảnh hưở..."
214160728,21 Nguyên Tắc Vàng Của Nghệ Thuật Lãnh Đạo,https://tiki.vn/product-p214160728.html?spid=214160729,135100,199000,32,4.8,192,John C. Maxwell,Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Lao Động,"Phẩm chất lãnh đạo nằm sâu tiềm ẩn trong mỗi con người chúng ta, nhưng không phải ai cũng có thể phát huy hay vận dụng nó một cách đúng đắn. Thật vậy, chính điều đó mới tạo nên cái mà ta gọi là ""Xã Hộ..."
214160516,Quản Trị Nhân Sự Thời GEN Z,https://tiki.vn/product-p214160516.html?spid=214160517,135100,199000,32,4.8,284,Hồng Duyên,Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Công Thương,"Hiện tại, việc thu hút người tài, tạo ra cấu trúc tổ chức phù hợp và xây dựng văn hóa doanh nghiệp là điều cần thiết để thúc đẩy chiến lược, cũng là yếu tố quan trọng để một CEO thành công trong việc ..."
169607070,Quản Trị KPI - Công Cụ Vận Hành Tổ Chức Và Nhân Sự Một Cách Hiệu Quả,https://tiki.vn/product-p169607070.html?spid=169607075,103000,140000,26,4.5,76,Kazuya Kusumoto,Tiki Trading,Sách quản trị nhân lực,Nhà Xuất Bản Hồng Đức,"Theo tác giả Kusumoto Kazuya, quản trị KPI không chỉ đo lường hiệu suất cá nhân, tổ chức thông qua các chỉ số, mà còn xác nhận các hoạt động nhằm nâng cao chính chỉ số đó có đang được thực hiện tốt ha..."
